horizon_hours,model,mae,rmse,mape,bias
1.0,model,41.14464414863156,53.22613126951158,0.9119541500542125,-2.8614272912675336
1.0,naive_last_week,170.3711790393013,222.6523497771127,3.7263134331151893,-26.922069197178367
1.0,naive_yesterday,211.10127645280483,289.0100051676418,4.686753069948221,0.04316425932146456
1.0,naive_4week_mean,150.40548370843132,199.33376553115133,3.2738871121999593,-41.9229509573396
1.0,persistence,139.01242861941552,181.55332691509733,3.116885703122132,0.19146792072556265
3.0,model,80.57772543074452,109.03281436619439,1.774653977399554,-3.9527228167995063
3.0,naive_last_week,170.3711790393013,222.6523497771127,3.7263134331151893,-26.922069197178367
3.0,naive_yesterday,211.10127645280483,289.0100051676418,4.686753069948221,0.04316425932146456
3.0,naive_4week_mean,150.40548370843132,199.33376553115133,3.2738871121999593,-41.9229509573396
3.0,persistence,364.59304669129995,459.7145281001263,8.140279026772104,0.2937520994289553
6.0,model,101.55554922663879,139.2462225963019,2.2372111209162777,-8.259015408692123
6.0,naive_last_week,170.3711790393013,222.6523497771127,3.7263134331151893,-26.922069197178367
6.0,naive_yesterday,211.10127645280483,289.0100051676418,4.686753069948221,0.04316425932146456
6.0,naive_4week_mean,150.40548370843132,199.33376553115133,3.2738871121999593,-41.9229509573396
6.0,persistence,569.0542492442056,675.5542168590341,12.959990326507748,-0.21246221027880416
12.0,model,115.59768564227494,155.97056037681617,2.539918834620739,-14.144190024355103
12.0,naive_last_week,170.3711790393013,222.6523497771127,3.7263134331151893,-26.922069197178367
12.0,naive_yesterday,211.10127645280483,289.0100051676418,4.686753069948221,0.04316425932146456
12.0,naive_4week_mean,150.40548370843132,199.33376553115133,3.2738871121999593,-41.9229509573396
12.0,persistence,589.5147799798455,700.6870157238757,13.42356446754398,-0.3263352368155862
24.0,model,117.78050991676099,157.6580459595979,2.5861915140470457,-19.86834176253598
24.0,naive_last_week,170.3711790393013,222.6523497771127,3.7263134331151893,-26.922069197178367
24.0,naive_yesterday,211.10127645280483,289.0100051676418,4.686753069948221,0.04316425932146456
24.0,naive_4week_mean,150.40548370843132,199.33376553115133,3.2738871121999593,-41.9229509573396
24.0,persistence,211.10127645280483,289.0100051676418,4.686753069948221,0.04316425932146456
48.0,model,117.86261514570171,157.69966864235928,2.597136661322312,-4.7284498604241945
48.0,naive_last_week,170.3711790393013,222.6523497771127,3.7263134331151893,-26.922069197178367
48.0,naive_yesterday,211.10127645280483,289.0100051676418,4.686753069948221,0.04316425932146456
48.0,naive_4week_mean,150.40548370843132,199.33376553115133,3.2738871121999593,-41.9229509573396
48.0,persistence,316.54232448773934,408.814169203094,7.073904336510231,2.962546187437017
